First Name,Last Name,Sport,Hometown City,Hometown State,Event
Brandon,Dickson,Baseball,Prattville,Alabama,Baseball
David,Robertson,Baseball,Tuscaloosa,Alabama,Baseball
James,Hall,Shooting,Anniston,Alabama,10m Air Pistol Men
Sandra,Uptagrafft,Shooting,Phenix City,Alabama,"10m Air Pistol Women, 25m Pistol Women"
Haylie,McCleney,Softball (Women),Morris,Alabama,Softball
Paige,Madden,Swimming,Mobile,Alabama,W 400m Freestyle
Zach,Harting,Swimming,Madison,Alabama,M 200m Butterfly
JuVaughn,Harrison,Track and Field,Huntsville,Alabama,"M High Jump, M Long Jump"
Quanesha,Burks,Track and Field,Harselle,Alabama,W Long Jump
Alev,Kelter,Rugby (Women),Eagle River,Alaska,Women
Lydia,Jacoby,Swimming,Seward,Alaska,W 100m Breaststroke
Brady,Ellison,Archery,Globe,Arizona,"M Individual, M Team"
Jamie,Westbrook,Baseball,Chandler,Arizona,Baseball
Brandon,McNulty,Cycling,Phoenix,Arizona,"M Individual Time Trial, M Road Race"
Corben,Sharrah,Cycling,Tucson,Arizona,Men - BMX
Delaney,Schnell,Diving,Tucson,Arizona,"W 10m Platform, W Sync 10m Platform"
Jade,Carey,Gymnastic (Artistic),Phoenix,Arizona,Women
Mykayla,Skinner,Gymnastic (Artistic),Gilbert,Arizona,Women
Brett,Thompson,Rugby (Men),Tempe,Arizona,Men
Maceo,Brown,Rugby (Men),Tempe,Arizona,Men
Alana,Smith,Skateboarding,Mesa,Arizona,W Street
Jagger,Eaton,Skateboarding,Mesa,Arizona,M Street
Julie,Ertz,Soccer (Women),Mesa,Arizona,Women
Bethanie,Mattek-Sands,Tennis,Phoenix,Arizona,W Doubles
Abdi,Abdirahman,Track and Field,Tucson,Arizona,M Marathon
Aliphine,Tuliamuk,Track and Field,Flagstaff,Arizona,W Marathon
Will,Claye,Track and Field,Phoenix,Arizona,M Triple Jump
Sarah,Sponcil,Volleyball (Beach),Phoenix,Arizona,Women
Kayla,Miracle,Wrestling,Phoenix,Arizona,W Freestyle 62kg
Kayle,Browning,Shooting,Wooster,Arkansas,Trap Women
Tara,Davis,Track and Field,Fayetteville,Arkansas,W Long Jump
Jack,Williams,Archery,Chula Vista,California,"M Individual, M Team"
Phillip,Chew,Badminton,Orange,California,M Doubles
Ryan,Chew,Badminton,Orange,California,M Doubles
Timothy,Lam,Badminton,Mountain View,California,M Singles
Anthony,Gose,Baseball,Bellflower,California,Baseball
Eric,Filia,Baseball,Huntington Beach,California,Baseball
Joe,Ryan,Baseball,San Francisco,California,Baseball
Nick,Allen,Baseball,San Diego,California,Baseball
Katie Lou,Samuelson,Basketball (3x3),Huntington Beach,California,Women
Kelsey,Plum,Basketball (3x3),Poway,California,Women
Damian,Lillard,Basketball (Men),Oakland,California,Men
Jrue,Holiday,Basketball (Men),Los Angeles,California,Men
Kevin,Love,Basketball (Men),Santa Monica,California,Men
Chelsea,Gray,Basketball (Women),Hayward,California,Women
Diana,Taurasi,Basketball (Women),Chino,California,Women
Richard,Torrez,Boxing,Tulare,California,M Super Heavy (+91kg)
Amber,Neben,Cycling,Lake Forest,California,W Individual Time Trial
Coryn,Rivera,Cycling,Newport Beach,California,W Road Race
Gavin,Hoover,Cycling,Manhattan Beach,California,"M Madison, M Omnium"
Haley,Batten,Cycling,Los Gatos,California,W Cross-country - MTB
Jennifer,Valente,Cycling,San Diego,California,"W Madison, W Omnium, W Team Pursuit"
Kate,Courtney,Cycling,Kentfield,California,W Cross-country - MTB
Leah,Thomas,Cycling,Boulder Creek,California,W Road Race
Megan,Jastrab,Cycling,Apple Valley,California,W Madison
Ruth,Winder,Cycling,Lafayette,California,W Road Race
Brandon,Loschiavo,Diving,Huntington Beach,California,M 10m Platform
Sabine,Schut-Kery,Equestrian,Thousand Oaks,California,"Dressage Individual, Dressage Team"
Steffen,Peters,Equestrian,San Diego,California,"Dressage Individual, Dressage Team"
Alexander,Massialas,Fencing,San Francisco,California,"M Foil Individual, M Foil Team"
Nick,Itkin,Fencing,Los Angeles,California,"M Foil Individual, M Foil Team"
Bryson,Dechambeau,Golf,Clovis,California,M Individual Stroke Play
Colin,Morikawa,Golf,La Canada,California,M Individual Stroke Play
Xander,Schauffele,Golf,San Diego,California,M Individual Stroke Play
Samuel,Mikulak,Gymnastic (Artistic),Newport Beach,California,Men
Isabelle,Connor,Gymnastics (Rhythmic),Manhattan Beach,California,Group All-Around
Nicole,Ahsinger,Gymnastics (Trampoline),San Diego,California,Women
Sakura,Kokumai,Karate,Stevenson Ranch,California,W KataCalifornia (126) - Continued
Kara,Kohler,Rowing,Clayton,California,W Single Sculls
Michelle,Sechser,Rowing,Folsom,California,Ltweight Womens Dble Sculls
Danny,Barrett,Rugby (Men),Pacifica,California,Men
Folau,Niua,Rugby (Men),East Palo Alto,California,Men
Matai,Leuta,Rugby (Men),Marina,California,Men
Steve,Tomasin,Rugby (Men),Santa Rosa,California,Men
Kayla,Canett,Rugby (Women),Fallbrook,California,Women
Naya,Tapper,Rugby (Women),Beaufort,California,Women
Nia,Toliver*,Rugby (Women),Los Angeles,California,Women
Charlie,Buckingham,Sailing,Newport Beach,California,Laser Men
Riley,Gibbs,Sailing,Long Beach,California,Nacra 17 Mixed
Brian,Burrows,Shooting,Fallbrook,California,Trap Men
Sagen,Maddalena,Shooting,Groveland,California,50m Rifle 3 Positions Women
Brighton,Zeuner,Skateboarding,Newport Beach,California,W Park
Bryce,Wettstein,Skateboarding,Encinitas,California,W Park
Cory,Juneau,Skateboarding,San Diego,California,M Park
Jordyn,Barratt,Skateboarding,Oceanside,California,W Park
Nyjah,Huston,Skateboarding,Laguna Beach,California,M Street
Abigail,Dahlkemper,Soccer (Women),Menlo Park,California,Women
Alex,Morgan,Soccer (Women),Diamond Bar,California,Women
Catarina,Macario*,Soccer (Women),Los Angeles,California,Women
Christen,Press,Soccer (Women),Palos Verdes Estates,California,Women
Lynn,Williams*,Soccer (Women),Fresno,California,Women
Megan,Rapinoe,Soccer (Women),Redding,California,Women
Tierna,Davidson,Soccer (Women),Menlo Park,California,Women
Alison,Aguilar,Softball (Women),Orangevale,California,Softball
Allyson,Carda,Softball (Women),Elk Grove,California,Softball
Aubree,Munro,Softball (Women),Brea,California,Softball
Dejah,Mulipola,Softball (Women),Anaheim,California,Softball
Delaney,Spaulding,Softball (Women),Rancho Cucamonga,California,Softball
Janette,Reed,Softball (Women),Placentia,California,SoftballCalifornia (126) - Continued
Madilyn,Nickles,Softball (Women),Merced,California,Softball
Monica,Abbott,Softball (Women),Salinas,California,Softball
Rachel,Garcia,Softball (Women),Palmdale,California,Softball
Valerie,Arioto,Softball (Women),Pleasanton,California,Softball
Kolohe,Andino,Surfing,San Clemente,California,Men
Abbey,Weitzeil,Swimming,Santa Clarita,California,"W 100m Freestyle, W 50m Freestyle"
Bryce,Mefford,Swimming,El Dorado Hills,California,M 200m Backstroke
Haley,Anderson,Swimming,Granite Bay,California,W 10km
Jake,Mitchell,Swimming,Folsom,California,M 400m Freestyle
Jordan,Wilimovsky,Swimming,Malibou,California,M 10km
Kathryn,McLaughlin,Swimming,Dana Point,California,W 200m Free (R)
Michael,Andrew,Swimming,Encinitas,California,"M 100m Breaststroke, M 200m Individual Medley, M 50m Freestyle"
Tom,Shields,Swimming,Huntington Beach,California,M 100m Butterfly
Kanak,Jha,Table Tennis,Milpitas,California,"M Singles, M Team"
Lily,Zhang,Table Tennis,Palo Alto,California,"W Singles, W Team"
Nikhil,Kumar,Table Tennis,San Jose,California,"M Singles, M Team"
Xin,Zhou,Table Tennis,Milpitas,California,M Team
Marcos,Giron,Tennis,Thousand Oaks,California,M Singles
Allyson,Felix,Track and Field,Los Angeles,California,"W 4 x 400m Relay, W 400m"
Brooke,Andersen,Track and Field,Vista,California,W Hammer Throw
Chris,Benard,Track and Field,Corona,California,M Triple Jump
Cravon,Gillespie,Track and Field,Pasadena,California,M 4 x 100m Relay
Isaiah,Jewett,Track and Field,Inglewood,California,M 800mCalifornia (126) - Continued
Jenna,Prandini,Track and Field,Clovis,California,"W 100m, W 200m, W 4 x 100m Relay"
Kendall,Ellis,Track and Field,North Hollywood,California,"W 4 x 400m Relay, W 400m"
Michael,Norman,Track and Field,Murrieta,California,"M 4 x 400m Relay, M 400m"
Nick,Christie,Track and Field,San Diego,California,M 20km Race Walk
Rachel,McCoy,Track and Field,Inland Empire,California,W High Jump
Robyn,Stevens,Track and Field,Vacaville,California,W 20km Race Walk
Katie,Zaferes,Triathlon,Santa Cruz,California,W Individual
Alix,Klineman,Volleyball (Beach),Manhattan Beach,California,Women
April,Ross,Volleyball (Beach),Costa Mesa,California,Women
Kelly,Claes,Volleyball (Beach),Fullerton,California,Women
David,Smith,Volleyball (Men),Saugus,California,Men
Garrett,Muagututia,Volleyball (Men),Oceanside,California,Men
Kyle,Ensing,Volleyball (Men),Valencia,California,Men
Taylor,Sander,Volleyball (Men),Corona,California,Men
Torey,DeFalco,Volleyball (Men),Huntington Beach,California,Men
Justine,Wong-Orantes,Volleyball (Women),Cypress,California,Women
Alex,Wolf,Water Polo (Men),Huntington Beach,California,Men
Alex,Bowen,Water Polo (Men),Santee,California,Men
Alex,Obert,Water Polo (Men),Loomis,California,Men
Ben,Hallock,Water Polo (Men),Studio City,California,Men
Drew,Holland,Water Polo (Men),Orinda,California,Men
Dylan,Woodhead,Water Polo (Men),San Anselmo,California,Men
Hannes,Daube,Water Polo (Men),Long Beach,California,Men
Jesse,Smith*,Water Polo (Men),Coronado,California,Men
Johnny,Hooper,Water Polo (Men),Los Angeles,California,Men
Marko,Vavic,Water Polo (Men),Rancho Palos Verdes,California,Men
Max,Irving,Water Polo (Men),Long Beach,California,MenCalifornia (126) - Continued
Alys,Williams,Water Polo (Women),Huntington Beach,California,Women
Aria,Fischer,Water Polo (Women),Laguna Beach,California,Women
Amanda,Longan,Water Polo (Women),Moorpark,California,Women
Jamie,Neushul*,Water Polo (Women),Isla Vista,California,Women
Kaleigh,Gilchrist,Water Polo (Women),Newport Beach,California,Women
Madeline,Musselman,Water Polo (Women),Newport Beach,California,Women
Makenzie,Fischer,Water Polo (Women),Laguna Beach,California,Women
Maggie,Steffens,Water Polo (Women),Danville,California,Women
Melissa,Seidemann,Water Polo (Women),Walnut Creek,California,Women
Paige,Hauschild,Water Polo (Women),Santa Barbara,California,Women
Rachel,Fattal,Water Polo (Women),Seal Beach,California,Women
Stephanie,Haralabidis,Water Polo (Women),Long Beach,California,Women
Sarah,Robles,Weightlifting,Desert Hot Springs,California,W +87kg
Zachary,Lokken,Canoe/Kayak,Durango,Colorado,M Canoe
Christopher,Blevins,Cycling,Durango,Colorado,M Cross-country - MTB
Erin,Huck,Cycling,Boulder,Colorado,W Cross-country - MTB
Maddie,Godby,Cycling,Louisville,Colorado,"W Keirin, W Sprint"
Yul,Moldauer,Gymnastic (Artistic),Arvada,Colorado,Men
Amro,Elgeziry,Pentathlon,Colorado Springs,Colorado,M Individual
Samantha,Schultz,Pentathlon,Littleton,Colorado,W Individual
Jessica,Thoennes,Rowing,Denver,Colorado,W Eight
Kendall,Chase,Rowing,Evergreen,Colorado,W Four
Cody,Melphy*,Rugby (Men),Littleton,Colorado,Men
Amber,English,Shooting,Colorado Springs,Colorado,Skeet Women
Lucas,Kozeniesky,Shooting,Colorado Springs,Colorado,10m Air Rifle Men
William,Shaner,Shooting,Colorado Springs,Colorado,10m Air Rifle Men
Lindsey,Horan,Soccer (Women),Golden,Colorado,Women
Brooke,Raboutou,Sport Climbing,Boulder,Colorado,W CombinedColorado (34) - Continued
Colin,Duffy,Sport Climbing,Broomfield,Colorado,M Combined
Anastasija,Zolotic,Taekwondo,Colorado Springs,Colorado,Women -57kg
Annie,Kunz,Track and Field,Denver,Colorado,W Heptathlon
Benard,Keter,Track and Field,Colorado Springs,Colorado,M 3000m Steeplechase
Elise,Cranny,Track and Field,Boulder,Colorado,"W 10,000m, W 5000m"
Emma,Coburn,Track and Field,Crested Butte,Colorado,W 3000m Steeplechase
Hillary,Bor,Track and Field,Colorado Springs,Colorado,M 3000m Steeplechase
Mason,Finley,Track and Field,Chaffee County,Colorado,M Discus Throw
Paul,Chelimo,Track and Field,Colorado Springs,Colorado,M 5000m
Valarie,Allman,Track and Field,Longmont,Colorado,W Discus Throw
Valerie,Constien,Track and Field,Edwards,Colorado,W 3000m Steeplechase
William,Kincaid,Track and Field,Littleton,Colorado,"M 10,000m, M 5000m"
Kevin,McDowell,Triathlon,Colorado Springs,Colorado,"M Individual, Mixed Relay"
Summer,Rappaport,Triathlon,Thornton,Colorado,"Mixed Relay, W Individual"
Haleigh,Washington,Volleyball (Women),Colorado Springs,Colorado,Women
Jordyn,Poulter,Volleyball (Women),Aurora,Colorado,Women
Adeline,Gray,Wrestling,Denver,Colorado,W Freestyle 76kg
Ildar,Hafizov,Wrestling,Colorado Springs,Colorado,M Greco-Roman 60kg
Jacarra,Winchester,Wrestling,San Leandro,Colorado,W Freestyle 53kg
Tracy,Hancock,Wrestling,Fountain,Colorado,M Greco-Roman 97kg
Austin,Hack,Rowing,Old Lyme,Connecticut,M Eight
Liam,Corrigan,Rowing,Old Lyme,Connecticut,M Eight
Alexis,Sablone,Skateboarding,Old Saybrook,Connecticut,W Street
Alyssa,Naeher,Soccer (Women),Stratford,Connecticut,Women
Kieran,Smith,Swimming,Ridgefield,Connecticut,"M 200m Freestyle, M 400m FreestyleDelaware (1)"
Marquis,Dendy,Track and Field,Wilmington,Delaware,M Long Jump
Kevin,Durant,Basketball (Men),Washington,D.C.,Men
Katharine,Holmes,Fencing,Washington,D.C.,"W Epee Individual, W Epee Team"
Frances,Tiafoe,Tennis,Washington,D.C.,"M Doubles, M Singles"
Taylor,Knibb,Triathlon,Washington,D.C.,"Mixed Relay, W Individual"
Eddy,Alvarez,Baseball,Miami,Florida,Baseball
Mark,Kolozsvary,Baseball,Eustis,Florida,Baseball
Nick,Martinez,Baseball,Miami,Florida,Baseball
Triston,Casas,Baseball,Pembroke Pines,Florida,Baseball
Sylvia,Fowles,Basketball (Women),Miami,Florida,Women
Lily,Williams,Cycling,Tallahassee,Florida,W Team Pursuit
Jordan,Windle,Diving,Fort Lauderdale,Florida,M 10m Platform
Adrienne,Lyle,Equestrian,Wellington,Florida,"Dressage Individual, Dressage Team"
Laura,Kraut,Equestrian,Wellington,Florida,"Jumping Individual, Jumping Team"
Kent,Farrington,Equestrian,Wellington,Florida,"Jumping Individual, Jumping Team"
Jessica,Korda,Golf,Jupiter,Florida,W Individual Stroke Play
Lexi,Thompson,Golf,Coral Springs,Florida,W Individual Stroke Play
Nelly,Korda,Golf,Bradenton,Florida,W Individual Stroke Play
Angelica,Delgado,Judo,Miami,Florida,Women -52 kg
Ariel,Torres,Karate,Hialeah,Florida,M Kata
Ben,Davison,Rowing,Inverness,Florida,M Eight
Clark,Dean,Rowing,Sarasota,Florida,M FourFlorida (51) - Continued
Katelin,Guregian,Rowing,Orlando,Florida,W Eight
Perry,Baker,Rugby (Men),Flagler Palm Coast,Florida,Men
Anna,Weis,Sailing,Fort Lauderdale,Florida,Nacra 17 Mixed
David,Hughes,Sailing,Miami,Florida,470 Men
Lara,Dallman-Weiss,Sailing,Miami,Florida,470 Women
Luke,Muller,Sailing,Fort Pierce,Florida,Finn Men
Nikole,Barnes,Sailing,Miami,Florida,470 Women
Paige,Railey,Sailing,Clearwater,Florida,Laser Radial Women
Pedro,Pascual,Sailing,Miami,Florida,RS X Men
Mary,Tucker,Shooting,Sarasota,Florida,"10m Air Rifle Women, 50m Rifle 3 Positions Women"
Jake,Ilardi,Skateboarding,Osprey,Florida,M Street
Zion,Wright,Skateboarding,Jupiter,Florida,M Park
Michelle,Moultrie,Softball (Women),Jacksonville,Florida,Softball
Caroline,Marks,Surfing,Melbourne Beach,Florida,Women
Caeleb,Dressel,Swimming,Orange Park,Florida,"M 100m Butterfly, M 100m Freestyle, M 50m Freestyle"
Emma,Weyant,Swimming,Sarasota,Florida,W 400m Individual Medley
Bobby,Finke,Swimming,Clearwater,Florida,"M 1500m Freestyle, M 800m Freestyle"
Ryan,Murphy,Swimming,Ponte Vedra Beach,Florida,"M 100m Backstroke, M 200m Backstroke"
Alison,Riske,Tennis,Orlando,Florida,W Singles
Coco,Gauff,Tennis,Boynton Beach,Florida,"W Doubles, W Singles"
Nicole,Melichar,Tennis,Stuart,Florida,W Doubles
Donald,Scott,Track and Field,Apopka,Florida,M Triple Jump
Erriyon,Knighton,Track and Field,Tampa,Florida,M 200m
Garrett,Scantling,Track and Field,Jacksonville,Florida,M Decathlon
Jessica,Ramsey,Track and Field,Boynton Beach,Florida,W Shot PutFlorida (51) - Continued
Kaylin,Whitney,Track and Field,Clermont,Florida,W 4 x 400m Relay
Teahna,Daniels,Track and Field,Orlando,Florida,"W 100m, W 4 x 100m Relay"
Trayvon,Bromell,Track and Field,St. Petersburg,Florida,"M 100m, M 4 x 100m Relay"
Nicholas,Lucena,Volleyball (Beach),Cooper City,Florida,Men
Philip,Dalhausser,Volleyball (Beach),Ormond Beach,Florida,Men
Foluke,Akinradewo,Volleyball (Women),Fort Lauderdale,Florida,Women
Ashleigh,Johnson,Water Polo (Women),Miami,Florida,Women
Mattie,Rogers,Weightlifting,Apopka,Florida,W 87kg
Alejandro,Sancho,Wrestling,Miami,Florida,M Greco-Roman 67kg
Anthony,Carter,Baseball,Lawrence,Georgia,Baseball
Tyler,Austin,Baseball,Conyers,Georgia,Baseball
Edwin,Jackson Jr.,Baseball,Columbus,Georgia,Baseball
Allisha,Gray,Basketball (3x3),Sandersville,Georgia,Women
Brody,Malone,Gymnastic (Artistic),Summerville,Georgia,Men
Henry,Leverett,Shooting,Bainbridge,Georgia,25m Rapid Fire Pistol Men
Jack,Leverett III,Shooting,Bainbridge,Georgia,25m Rapid Fire Pistol Men
Vincent,Hancock,Shooting,Eatonton,Georgia,Skeet Men
Emily,Sonnett,Soccer (Women),Marietta,Georgia,Women
Jane,Campbell*,Soccer (Women),Kennesaw,Georgia,Women
Kelley,O'Hara,Soccer (Women),Fayetteville,Georgia,Women
Brooks,Curry,Swimming,Dunwoody,Georgia,M 100m Free (R)
Jay,Litherland,Swimming,Athens,Georgia,M 400m Individual Medley
Gunnar,Bentz,Swimming,Atlanta,Georgia,M 200m Butterfly
Natalie,Hinds,Swimming,Athens,Georgia,W 100m Free (R)
Daniel,Haugh,Track and Field,Marietta,Georgia,M Hammer Throw
Daniel,Roberts,Track and Field,Atlanta,Georgia,M 110m Hurdles
Elija,Godwin,Track and Field,Covington,Georgia,4 x 400m Relay MixedGeorgia (20) - Continued
Javianne,Oliver,Track and Field,Monroe,Georgia,"W 100m, W 4 x 100m Relay"
Kendell,Williams,Track and Field,Kennesaw,Georgia,W Heptathlon
Kenny,Selmon,Track and Field,Atlanta,Georgia,M 400m Hurdles
Martin,Iosefo,Rugby (Men),Wahiawa,Hawaii,Men
Heimana,Reynolds,Skateboarding,Honolulu,Hawaii,M Park
Carissa,Moore,Surfing,Honolulu,Hawaii,Women
John,Florence,Surfing,Haleiwa,Hawaii,Men
Taylor,Crabb,Volleyball (Beach),Honolulu,Hawaii,Men
Erik,Shoji,Volleyball (Men),Honolulu,Hawaii,Men
Kawika,Shoji,Volleyball (Men),Honolulu,Hawaii,Men
Micah,Christenson,Volleyball (Men),Honolulu,Hawaii,Men
Jewell,Loyd,Basketball (Women),Lincolnwood,Illinois,Women
Anne-Elizabeth,Stone,Fencing,Chicago,Illinois,"W Sabre Individual, W Sabre Team"
Camilla,Feeley,Gymnastics (Rhythmic),Deerfield,Illinois,Group All-Around
Evita,Griskenas,Gymnastics (Rhythmic),Orland Park,Illinois,Individual All-Around
Laura,Zeng,Gymnastics (Rhythmic),Libertyville,Illinois,Individual All-Around
Lili,Mizuno,Gymnastics (Rhythmic),Northbrook,Illinois,Group All-Around
Nicole,Sladkov,Gymnastics (Rhythmic),Vernon Hills,Illinois,Group All-Around
Nefeli,Papadakis,Judo,Gurnee,Illinois,Women -78 kg
Lauren,Doyle,Rugby (Women),Boody,Illinois,Women
Maggie,Shea,Sailing,Wilmette,Illinois,49er FX Women
Casey,Krueger*,Soccer (Women),Naperville,Illinois,Women
Olivia,Smoliga,Swimming,Chicago,Illinois,W 100m Free (R)
Darryl,Sullivan Jr,Track and Field,Marion,Illinois,M High Jump
David,Kendziera,Track and Field,Mt. Prospect,Illinois,M 400m Hurdles
Kelsey,Card,Track and Field,Carlinville,Illinois,W Discus ThrowIllinois (19) - Continued
Tori,Franklin,Track and Field,Chicago,Illinois,W Triple Jump
Zach,Ziemek,Track and Field,Itasca,Illinois,M Decathlon
Thomas,Jaeschke,Volleyball (Men),Wheaton,Illinois,Men
Kelsey,Robinson,Volleyball (Women),Bartlett,Illinois,Women
Michelle,Bartsch-Hackley,Volleyball (Women),Champaign,Illinois,Women
Skylar,Diggins-Smith,Basketball (Women),South Bend,Indiana,Women
Chloe,Dygert,Cycling,Brownsburg,Indiana,"W Individual Time Trial, W Road Race, W Team Pursuit"
Felicia,Stancil,Cycling,Indianapolis,Indiana,Women - BMX
