taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
EMON,1193,N,M,BILLY,N,5,1964-10-01,10,Y,WB,Unknown Location,NA,127,1964-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,NA,NA,NA,15.64,15.64,NA,Y,2330,1978-11-01,11,5144,734.86,169.12,169,14.09,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,1195,N,F,FLO,N,6,1964-10-01,10,Y,WB,Unknown Location,NA,127,1964-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1980-03-15,15.46,NA,NA,15.46,NA,Y,1407,1978-11-01,11,5144,734.86,169.12,169,14.09,NA,NA,NA,500,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,1552,N,F,MAY,N,456,1974-03-18,3,NA,CB,Duke Lemur Center,1,138,1973-10-31,10,585,CALPURNIA,LCAT,1971-03-15,2.63,MULT2,NA,NA,NA,NA,NA,NA,NA,2.34,2.34,NA,NA,135,1974-04-03,4,16,2.29,0.53,0,0.04,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1553,N,F,BALIN-A,N,457,1974-03-18,3,NA,CB,Duke Lemur Center,1,138,1973-10-31,10,546,BALIN,LCAT,1968-12-18,4.87,MULT2,NA,NA,NA,NA,1974-04-08,0.06,NA,NA,0.06,NA,NA,155,1974-04-03,4,16,2.29,0.53,0,0.04,NA,NA,NA,5,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1570,N,M,LENT,N,471,1974-04-19,4,NA,CB,Duke Lemur Center,1,138,1973-12-02,12,1509,RIMA,LCAT,1972-01-14,1.88,555,ALCIBIADES,LCAT,1967-04-19,6.63,NA,NA,NA,7.02,7.02,5,NA,1226,1974-10-03,10,167,23.86,5.49,5,0.46,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1585,N,M,PLATO,N,482,1974-06-28,6,NA,CB,Duke Lemur Center,1,138,1974-02-10,2,528,XANTIPPE,LCAT,1959-09-01,14.45,MULT2,NA,NA,NA,NA,NA,NA,NA,2.06,2.06,NA,NA,157,1974-07-12,7,14,2,0.46,0,0.04,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,2381,N,F,DIDI,N,7,1966-05-19,5,U,WB,Unknown Location,NA,127,1966-01-12,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,NA,NA,NA,14.01,14.01,NA,U,1998,1978-11-01,11,4549,649.86,149.56,149,12.46,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,2501,N,F,OCTAVE,N,493,1975-03-12,3,NA,CB,Duke Lemur Center,1,138,1974-10-25,10,585,CALPURNIA,LCAT,1971-03-15,3.62,584,CATO,LCAT,1971-03-15,3.62,NA,NA,NA,1.36,1.36,NA,NA,164,1975-04-01,4,20,2.86,0.66,0,0.05,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2502,N,M,BALIN-B,N,495,1975-03-17,3,NA,CB,Duke Lemur Center,1,138,1974-10-30,10,546,BALIN,LCAT,1968-12-18,5.87,584,CATO,LCAT,1971-03-15,3.63,1975-03-18,0,NA,NA,0,NA,NA,56,1975-03-18,3,1,0.14,0.03,0,0,NA,NA,NA,0,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2504,N,F,NICIAS,N,496,1975-03-23,3,NA,CB,Duke Lemur Center,1,138,1974-11-05,11,1510,KAMALA,LCAT,1972-01-15,2.81,555,ALCIBIADES,LCAT,1967-04-19,7.55,1991-02-12,15.9,NA,NA,15.9,1,NA,83,1975-03-25,3,2,0.29,0.07,0,0.01,NA,NA,NA,5803,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2505,N,M,ERATO,N,497,1975-03-24,3,NA,CB,Duke Lemur Center,1,138,1974-11-06,11,1509,RIMA,LCAT,1972-01-14,2.81,555,ALCIBIADES,LCAT,1967-04-19,7.56,NA,NA,NA,13.01,13.01,1,NA,80,1975-03-25,3,1,0.14,0.03,0,0,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2537,N,F,CRETIA,N,528,1976-03-15,3,NA,CB,Duke Lemur Center,1,138,1975-10-29,10,585,CALPURNIA,LCAT,1971-03-15,4.63,584,CATO,LCAT,1971-03-15,4.63,NA,NA,NA,2.36,2.36,NA,NA,64,1976-03-16,3,1,0.14,0.03,0,0,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2542,N,F,ASPASIA,N,535,1976-03-29,3,NA,CB,Duke Lemur Center,2,138,1975-11-12,11,1510,KAMALA,LCAT,1972-01-15,3.83,MULT2,NA,NA,NA,NA,1990-01-30,13.85,NA,NA,13.85,NA,NA,180,1976-04-21,4,23,3.29,0.76,0,0.06,NA,NA,NA,5032,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2543,N,F,LYSIS,N,536,1976-03-29,3,NA,CB,Duke Lemur Center,2,138,1975-11-12,11,1510,KAMALA,LCAT,1972-01-15,3.83,MULT2,NA,NA,NA,NA,NA,NA,NA,19.92,19.92,26,NA,175,1976-04-21,4,23,3.29,0.76,0,0.06,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2544,N,M,PERIC,N,538,1976-04-02,4,NA,CB,Duke Lemur Center,1,138,1975-11-16,11,1509,RIMA,LCAT,1972-01-14,3.84,MULT2,NA,NA,NA,NA,1994-06-28,18.25,NA,NA,18.25,NA,NA,168,1976-04-21,4,19,2.71,0.62,0,0.05,NA,NA,NA,6642,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,2567,N,F,AIMEE,N,31,1974-04-09,4,NA,CB,Rare Feline Breeding Compound,NA,127,1973-12-03,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-09-28,23.49,NA,NA,23.49,2,NA,1647.5,1983-08-03,8,3403,486.14,111.88,111,9.32,NA,NA,NA,5170,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,2569,N,M,DUVAL,N,16,1970-07-23,7,Y,CB,Rare Feline Breeding Compound,NA,127,1970-03-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.06,17.06,NA,Y,2097,1983-07-13,7,4738,676.86,155.77,155,12.98,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,2583,N,F,SAPPHO,N,598,1977-03-11,3,NA,CB,Duke Lemur Center,1,138,1976-10-24,10,1510,KAMALA,LCAT,1972-01-15,4.78,555,ALCIBIADES,LCAT,1967-04-19,9.52,1990-06-18,13.28,NA,NA,13.28,12,NA,158,1977-03-25,3,14,2,0.46,0,0.04,NA,NA,NA,4833,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3515,N,M,LEPIDUS,N,625,1977-04-22,4,NA,CB,Duke Lemur Center,2,138,1976-12-05,12,585,CALPURNIA,LCAT,1971-03-15,5.73,584,CATO,LCAT,1971-03-15,5.73,1989-12-17,12.66,NA,NA,12.66,NA,NA,1290,1977-10-25,10,186,26.57,6.12,6,0.51,NA,NA,NA,4436,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3516,N,M,AUGUSTUS,N,626,1977-04-22,4,NA,CB,Duke Lemur Center,2,138,1976-12-05,12,585,CALPURNIA,LCAT,1971-03-15,5.73,584,CATO,LCAT,1971-03-15,5.73,1982-03-31,4.94,NA,NA,4.94,NA,NA,1280,1977-10-25,10,186,26.57,6.12,6,0.51,NA,NA,NA,1618,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3520,N,F,CALLA,N,628,1977-04-25,4,NA,CB,Duke Lemur Center,1,138,1976-12-08,12,1509,RIMA,LCAT,1972-01-14,4.9,555,ALCIBIADES,LCAT,1967-04-19,9.65,NA,NA,NA,1.25,1.25,NA,NA,600,1977-07-15,7,81,11.57,2.66,2,0.22,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3544,N,F,MYRTO,N,676,1978-03-27,3,NA,CB,Duke Lemur Center,2,138,1977-11-09,11,2543,LYSIS,LCAT,1976-03-29,1.62,582,ROMULUS,LCAT,1971-03-09,6.68,2004-05-24,26.18,NA,NA,26.18,NA,NA,158,1978-04-14,4,18,2.57,0.59,0,0.05,NA,NA,NA,9537,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3545,N,F,TYRO,N,677,1978-03-27,3,NA,CB,Duke Lemur Center,2,138,1977-11-09,11,2543,LYSIS,LCAT,1976-03-29,1.62,582,ROMULUS,LCAT,1971-03-09,6.68,NA,NA,NA,2.46,2.46,NA,NA,160,1978-04-14,4,18,2.57,0.59,0,0.05,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3547,N,M,CRITO,N,679,1978-03-27,3,NA,CB,Duke Lemur Center,2,138,1977-11-09,11,1510,KAMALA,LCAT,1972-01-15,5.82,582,ROMULUS,LCAT,1971-03-09,6.68,NA,NA,NA,8.99,8.99,NA,NA,79,1978-03-29,3,2,0.29,0.07,0,0.01,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3592,N,F,ZENOBIA,N,706,1978-05-18,5,NA,CB,Duke Lemur Center,1,138,1977-12-31,12,585,CALPURNIA,LCAT,1971-03-15,6.8,1570,LENT,LCAT,1974-04-19,3.7,1992-10-18,14.43,NA,NA,14.43,3,NA,180,1978-06-08,6,21,3,0.69,0,0.06,NA,NA,NA,5246,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,3593,N,F,RIMA-A,N,709,1978-05-30,5,NA,CB,Duke Lemur Center,1,138,1978-01-12,1,1509,RIMA,LCAT,1972-01-14,6,2505,ERATO,LCAT,1975-03-24,2.81,1978-06-05,0.02,NA,NA,0.02,NA,NA,50,1978-06-03,6,4,0.57,0.13,0,0.01,NA,NA,NA,2,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,4504,N,M,PIERROT,N,43,1976-05-15,5,NA,CB,Rare Feline Breeding Compound,NA,127,1976-01-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-02-14,30.77,NA,NA,30.77,13,NA,1371,1983-07-13,7,2615,373.57,85.97,85,7.16,NA,NA,NA,8617,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,4517,N,M,ION,N,460,1974-03-24,3,NA,CB,"Houston Zoo, Inc.",NA,138,1973-11-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.52,12.52,3,NA,2805,1983-07-08,7,3393,484.71,111.55,111,9.3,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,4535,N,M,XENOPHON,N,742,1979-03-13,3,NA,CB,Duke Lemur Center,1,138,1978-10-26,10,1510,KAMALA,LCAT,1972-01-15,6.78,555,ALCIBIADES,LCAT,1967-04-19,11.53,1997-11-01,18.65,NA,NA,18.65,NA,NA,454,1979-05-15,5,63,9,2.07,2,0.17,NA,NA,NA,6745,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5505,N,M,DIOGENES,N,814,1980-02-26,2,NA,CB,Duke Lemur Center,1,138,1979-10-11,10,585,CALPURNIA,LCAT,1971-03-15,8.58,1570,LENT,LCAT,1974-04-19,5.48,NA,NA,NA,1.16,1.16,NA,NA,155,1980-03-13,3,16,2.29,0.53,0,0.04,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5510,N,F,ANEMONE,N,822,1980-03-14,3,NA,CB,Duke Lemur Center,1,138,1979-10-28,10,UNK,NA,NA,NA,NA,582,ROMULUS,LCAT,1971-03-09,8.64,1992-05-26,12.21,NA,NA,12.21,11,NA,2803,1983-12-13,12,1369,195.57,45.01,45,3.75,NA,NA,NA,3087,1.32,adult,P,138,1983-11-04,1984-03-21,99,0.717391304,1
LCAT,5511,N,M,THALES,N,829,1980-03-17,3,NA,CB,Duke Lemur Center,1,138,1979-10-31,10,UNK,NA,NA,NA,NA,582,ROMULUS,LCAT,1971-03-09,8.65,NA,NA,NA,14.91,14.91,2,NA,2830,1983-12-13,12,1366,195.14,44.91,44,3.74,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5556,N,F,OLYMPIAS,N,883,1980-06-27,6,NA,CB,Duke Lemur Center,1,138,1980-02-10,2,1510,KAMALA,LCAT,1972-01-15,8.08,555,ALCIBIADES,LCAT,1967-04-19,12.82,NA,NA,NA,6.84,6.84,4,NA,2247.5,1987-04-13,4,2481,354.43,81.57,81,6.8,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5578,N,F,GALATEA,N,924,1981-03-20,3,NA,CB,Duke Lemur Center,2,138,1980-11-02,11,2583,SAPPHO,LCAT,1977-03-11,3.65,582,ROMULUS,LCAT,1971-03-09,9.66,1984-11-02,3.62,NA,NA,3.62,1,NA,2574,1983-07-18,7,850,121.43,27.95,27,2.33,NA,NA,NA,473,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5585,N,F,THERA,N,940,1981-03-27,3,NA,CB,Duke Lemur Center,1,138,1980-11-09,11,2543,LYSIS,LCAT,1976-03-29,4.62,582,ROMULUS,LCAT,1971-03-09,9.68,NA,NA,NA,9.44,9.44,9,NA,107,1981-04-07,4,11,1.57,0.36,0,0.03,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5613,N,M,YODA,N,964,1981-04-21,4,NA,CB,Duke Lemur Center,1,138,1980-12-04,12,4540,CLYTIE,LCAT,1973-09-19,7.21,4517,ION,LCAT,1974-03-24,6.7,NA,NA,NA,6.03,6.03,4,NA,3263.5,1985-11-15,11,1669,238.43,54.87,54,4.57,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5615,N,M,PEGASUS,N,627,1977-04-23,4,Y,CB,Catoctin Wildlife Preserve and Zoo,NA,138,1976-12-06,12,oi_UNK,NA,NA,NA,NA,oi_UNK,NA,NA,NA,NA,2003-11-01,26.54,NA,NA,26.54,6,Y,2092,1981-07-10,7,1539,219.86,50.6,50,4.22,NA,NA,NA,8149,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5643,N,M,PHEIDIPPEDES,N,239,1968-03-30,3,NA,CB,Philadelphia Zoo,NA,138,1967-11-13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-12-04,15.69,NA,NA,15.69,2,NA,2556,1982-05-20,5,5164,737.71,169.78,169,14.15,NA,NA,NA,563,1.32,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5644,N,M,LUIS,N,14,1969-01-27,1,Y,Unk,Unknown Location,NA,127,1968-09-22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.55,18.55,NA,Y,1616,1983-06-15,6,5252,750.29,172.67,172,14.39,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5645,N,F,LUPE,N,15,1969-01-27,1,Y,Unk,Unknown Location,NA,127,1968-09-22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-08-06,15.53,NA,NA,15.53,NA,Y,1357,1983-07-13,7,5280,754.29,173.59,173,14.47,NA,NA,NA,390,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5655,N,M,HIPPOCRATES,N,1022,1982-03-16,3,NA,CB,Duke Lemur Center,2,138,1981-10-29,10,1510,KAMALA,LCAT,1972-01-15,9.79,4515,SOPHOCLES,LCAT,1974-11-19,6.95,1988-11-15,6.67,NA,NA,6.67,NA,NA,2239,1985-06-26,6,1198,171.14,39.39,39,3.28,NA,NA,NA,1238,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5656,N,F,HERO,N,1023,1982-03-16,3,NA,CB,Duke Lemur Center,2,138,1981-10-29,10,1510,KAMALA,LCAT,1972-01-15,9.79,4515,SOPHOCLES,LCAT,1974-11-19,6.95,1988-08-08,6.4,NA,NA,6.4,1,NA,2869,1984-06-01,6,808,115.43,26.56,26,2.21,NA,NA,NA,1529,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5667,N,M,PHILEMON,N,1050,1982-04-02,4,NA,CB,Duke Lemur Center,2,138,1981-11-15,11,2543,LYSIS,LCAT,1976-03-29,5.64,MULT2,NA,NA,NA,NA,2006-06-28,24.25,NA,NA,24.25,2,NA,245,1982-05-20,5,48,6.86,1.58,1,0.13,NA,NA,NA,8805,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5668,N,F,BAUCIS,N,1051,1982-04-02,4,NA,CB,Duke Lemur Center,2,138,1981-11-15,11,2543,LYSIS,LCAT,1976-03-29,5.64,MULT2,NA,NA,NA,NA,NA,NA,NA,8.27,8.27,7,NA,297.5,1982-05-20,5,48,6.86,1.58,1,0.13,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5669,N,F,ARACHNE,N,1055,1982-04-04,4,NA,CB,Duke Lemur Center,2,138,1981-11-17,11,2583,SAPPHO,LCAT,1977-03-11,4.69,MULT2,NA,NA,NA,NA,1995-10-10,13.53,NA,NA,13.53,1,NA,328.5,1982-05-20,5,46,6.57,1.51,1,0.13,NA,NA,NA,4891,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,5714,N,M,FERDINAND,N,52,1978-10-01,10,Y,WB,Comoros /,NA,127,1978-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2002-02-05,23.36,NA,NA,23.36,4,Y,1220.5,1982-12-30,12,1551,221.57,50.99,50,4.25,NA,NA,NA,6977,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5715,N,F,ISABELLA,N,53,1978-10-01,10,Y,WB,Comoros /,NA,127,1978-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2002-08-05,23.86,NA,NA,23.86,4,Y,1544,1982-12-30,12,1551,221.57,50.99,50,4.25,NA,NA,NA,7158,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5716,N,M,PABLO,N,48,1977-10-01,10,Y,WB,Comoros /,NA,127,1977-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-11-11,27.13,NA,NA,27.13,8,Y,1489,1982-12-30,12,1916,273.71,62.99,62,5.25,NA,NA,NA,7987,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5717,N,F,ESPERANZA,N,49,1977-10-01,10,Y,WB,Comoros /,NA,127,1977-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-01-30,26.35,NA,NA,26.35,5,Y,1684.5,1982-12-30,12,1916,273.71,62.99,62,5.25,NA,NA,NA,7701,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5718,N,M,MANUEL,N,50,1977-10-01,10,Y,WB,Comoros /,NA,127,1977-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-07-22,30.83,NA,NA,30.83,7,Y,1348.5,1982-12-30,12,1916,273.71,62.99,62,5.25,NA,NA,NA,9336,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5719,N,F,CARMEN,N,54,1978-10-01,10,Y,WB,Comoros /,NA,127,1978-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-05-21,25.65,NA,NA,25.65,7,Y,1575.5,1982-12-30,12,1551,221.57,50.99,50,4.25,NA,NA,NA,7813,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5720,N,M,JUAN,N,55,1978-10-01,10,Y,WB,Comoros /,NA,127,1978-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2014-12-31,36.27,NA,NA,36.27,5,Y,1575.3,1982-12-30,12,1551,221.57,50.99,50,4.25,NA,NA,NA,11689,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,5721,N,F,EVITA,N,60,1981-10-01,10,M,WB,Comoros /,NA,127,1981-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1996-08-22,14.9,NA,NA,14.9,5,M,1275.5,1983-07-27,7,664,94.86,21.83,21,1.82,0,42,0,4775,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,5722,N,M,Sancho,N,64,1982-10-01,10,D,WB,Comoros /,NA,127,1982-05-27,5,5717,ESPERANZA,EMON,1977-10-01,4.65,5716,PABLO,EMON,1977-10-01,4.65,2012-12-14,30.22,NA,NA,30.22,9,D,1520,1984-08-10,8,679,97,22.32,22,1.86,86,46,1.87,10353,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,5723,N,M,PEPE,N,65,1982-10-01,10,D,WB,Comoros /,NA,127,1982-05-27,5,5719,CARMEN,EMON,1978-10-01,3.65,5718,MANUEL,EMON,1977-10-01,4.65,1993-01-02,10.26,NA,NA,10.26,5,D,1420,1984-10-09,10,739,105.57,24.3,24,2.02,199,273,0.73,3007,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
