State,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank,Max Local Tax Rate
Alabama,4.00%,40,5.29%,9.29%,5,7.50%
Alaska,0.00%,46,1.82%,1.82%,46,7.85%
Arizona,5.60%,28,2.78%,8.38%,12,5.30%
Arkansas,6.50%,9,2.95%,9.45%,3,6.13%
California (a),7.25%,1,1.60%,8.85%,8,4.75%
Colorado,2.90%,45,4.91%,7.81%,16,8.30%
Connecticut,6.35%,12,0.00%,6.35%,33,0.00%
Delaware,0.00%,46,0.00%,0.00%,47,0.00%
Florida,6.00%,17,1.00%,7.00%,24,2.00%
Georgia,4.00%,40,3.38%,7.38%,19,5.00%
Hawaii (b),4.00%,40,0.50%,4.50%,45,0.50%
Idaho,6.00%,17,0.03%,6.03%,37,3.00%
Illinois,6.25%,13,2.61%,8.86%,7,4.75%
Indiana,7.00%,2,0.00%,7.00%,25,0.00%
Iowa,6.00%,17,0.94%,6.94%,29,2.00%
Kansas,6.50%,9,2.15%,8.65%,9,4.25%
Kentucky,6.00%,17,0.00%,6.00%,38,0.00%
Louisiana,4.45%,37,5.11%,9.56%,1,7.00%
Maine,5.50%,29,0.00%,5.50%,43,0.00%
Maryland,6.00%,17,0.00%,6.00%,38,0.00%
Massachusetts,6.25%,13,0.00%,6.25%,35,0.00%
Michigan,6.00%,17,0.00%,6.00%,38,0.00%
Minnesota,6.88%,6,1.16%,8.04%,15,2.15%
Mississippi,7.00%,2,0.06%,7.06%,22,1.00%
Missouri,4.23%,38,4.16%,8.39%,11,5.88%
Montana (c),0.00%,46,0.00%,0.00%,47,0.00%
Nebraska,5.50%,29,1.47%,6.97%,28,2.00%
Nevada,6.85%,7,1.39%,8.24%,13,1.53%
New Hampshire,0.00%,46,0.00%,0.00%,47,0.00%
New Jersey (d),6.63%,8,-0.02%,6.60%,30,3.31%
New Mexico (b),4.88%,34,2.74%,7.62%,17,4.06%
New York,4.00%,40,4.53%,8.53%,10,4.88%
North Carolina,4.75%,35,2.25%,7.00%,27,2.75%
North Dakota,5.00%,32,2.04%,7.04%,23,3.50%
Ohio,5.75%,27,1.49%,7.24%,21,2.25%
Oklahoma,4.50%,36,4.49%,8.99%,6,7.00%
Oregon,0.00%,46,0.00%,0.00%,47,0.00%
Pennsylvania,6.00%,17,0.34%,6.34%,34,2.00%
Rhode Island,7.00%,2,0.00%,7.00%,25,0.00%
South Carolina,6.00%,17,1.50%,7.50%,18,3.00%
South Dakota (b),4.20%,39,1.91%,6.11%,36,4.50%
Tennessee,7.00%,2,2.55%,9.55%,2,2.75%
Texas,6.25%,13,1.95%,8.20%,14,2.00%
Utah (a),6.10%,16,1.15%,7.25%,20,4.20%
Vermont,6.00%,17,0.36%,6.36%,32,1.00%
Virginia (a),5.30%,31,0.47%,5.77%,41,2.70%
Washington,6.50%,9,2.88%,9.38%,4,4.10%
West Virginia,6.00%,17,0.57%,6.57%,31,1.00%
Wisconsin,5.00%,32,0.70%,5.70%,42,2.90%
Wyoming,4.00%,40,1.44%,5.44%,44,2.00%
District of Columbia,6.00%,N/A,0.00%,6.00%,N/A,0.00%